id:ID(property_type),name,:LABEL
1402,Private room in rental unit,Property_type; Property_type
1403,Private room in townhouse,Property_type; Property_type
1404,Private room in houseboat,Property_type; Property_type
1405,Entire rental unit,Property_type; Property_type
1406,Entire guest suite,Property_type; Property_type
1407,Boat,Property_type; Property_type
1408,Private room in bed and breakfast,Property_type; Property_type
1409,Entire loft,Property_type; Property_type
1410,Private room in residential home,Property_type; Property_type
1411,Private room in loft,Property_type; Property_type
1412,Entire guesthouse,Property_type; Property_type
1413,Private room in boat,Property_type; Property_type
1414,Private room in guest suite,Property_type; Property_type
1415,Entire townhouse,Property_type; Property_type
1416,Room in boutique hotel,Property_type; Property_type
1417,Entire condominium (condo),Property_type; Property_type
1418,Entire residential home,Property_type; Property_type
1419,Entire serviced apartment,Property_type; Property_type
1420,Private room in farm stay,Property_type; Property_type
1421,Houseboat,Property_type; Property_type
1422,Room in bed and breakfast,Property_type; Property_type
1423,Entire chalet,Property_type; Property_type
1424,Private room in guesthouse,Property_type; Property_type
1425,Shared room in rental unit,Property_type; Property_type
1426,Private room in condominium (condo),Property_type; Property_type
1427,Shared room in residential home,Property_type; Property_type
1428,Private room in island,Property_type; Property_type
1429,Entire villa,Property_type; Property_type
1430,Private room in tiny house,Property_type; Property_type
1431,Private room in villa,Property_type; Property_type
1432,Barn,Property_type; Property_type
1433,Private room in bungalow,Property_type; Property_type
1434,Private room in serviced apartment,Property_type; Property_type
1435,Entire cabin,Property_type; Property_type
1436,Room in hotel,Property_type; Property_type
1437,Entire place,Property_type; Property_type
1438,Room in aparthotel,Property_type; Property_type
1439,Tiny house,Property_type; Property_type
1440,Shared room in bed and breakfast,Property_type; Property_type
1441,Private room in cabin,Property_type; Property_type
1442,Entire cottage,Property_type; Property_type
1443,Private room,Property_type; Property_type
1444,Private room in nature lodge,Property_type; Property_type
1445,Room in serviced apartment,Property_type; Property_type
1446,Tower,Property_type; Property_type
1447,Room in casa particular,Property_type; Property_type
1448,Shared room in houseboat,Property_type; Property_type
1449,Room in hostel,Property_type; Property_type
1450,Shared room in hostel,Property_type; Property_type
1451,Private room in hostel,Property_type; Property_type
1452,Bus,Property_type; Property_type
1453,Shared room in boat,Property_type; Property_type
1454,Camper/RV,Property_type; Property_type
1455,Cave,Property_type; Property_type
1456,Entire home/apt,Property_type; Property_type
1457,Private room in casa particular,Property_type; Property_type
1458,Entire vacation home,Property_type; Property_type
